Date;Horaire;Distance;
28/09/2021;10:59:21;3.449534;
28/09/2021;10:59:22;3.445756;
28/09/2021;10:59:24;3.441125;
28/09/2021;10:59:25;3.443258;
28/09/2021;10:59:26;3.436069;
28/09/2021;10:59:28;3.43767;
28/09/2021;10:59:29;3.439464;
28/09/2021;10:59:31;3.43815;
28/09/2021;10:59:32;3.434969;
28/09/2021;10:59:33;3.440177;
28/09/2021;10:59:35;3.44064;
28/09/2021;10:59:36;3.440215;
28/09/2021;10:59:37;3.439234;
28/09/2021;10:59:39;3.438728;
28/09/2021;10:59:40;3.437989;
28/09/2021;10:59:41;3.437255;
28/09/2021;10:59:43;3.436883;
28/09/2021;10:59:44;3.440227;
28/09/2021;10:59:45;3.441465;
28/09/2021;10:59:47;3.442434;
28/09/2021;10:59:48;3.440359;
28/09/2021;10:59:50;3.44639;
28/09/2021;10:59:51;3.447433;
28/09/2021;10:59:52;3.442557;
28/09/2021;10:59:54;3.449865;
28/09/2021;10:59:55;3.453861;
28/09/2021;10:59:56;3.447106;
28/09/2021;10:59:58;3.448279;
28/09/2021;10:59:59;3.452135;
28/09/2021;11:00:00;3.448236;
28/09/2021;11:00:02;3.444692;
28/09/2021;11:00:03;3.452745;
28/09/2021;11:00:04;3.45481;
28/09/2021;11:00:06;3.455078;
28/09/2021;11:00:07;3.45696;
28/09/2021;11:00:08;3.454098;
28/09/2021;11:00:10;3.450722;
28/09/2021;11:00:11;3.455807;
28/09/2021;11:00:13;3.453965;
28/09/2021;11:00:14;3.451033;
28/09/2021;11:00:15;3.456627;
28/09/2021;11:00:17;3.457927;
28/09/2021;11:00:18;3.453515;
28/09/2021;11:00:19;3.452963;
28/09/2021;11:00:21;3.451968;
28/09/2021;11:00:22;3.44684;
28/09/2021;11:00:23;3.450037;
28/09/2021;11:00:25;3.443938;
28/09/2021;11:00:26;3.443546;
28/09/2021;11:00:27;3.449322;
28/09/2021;11:00:29;3.452412;
28/09/2021;11:00:30;3.454041;
28/09/2021;11:00:31;3.456176;
28/09/2021;11:00:33;3.456656;
28/09/2021;11:00:34;3.452444;
28/09/2021;11:00:35;3.454364;
28/09/2021;11:00:37;3.453274;
28/09/2021;11:00:38;3.451827;
28/09/2021;11:00:39;3.445813;
28/09/2021;11:00:41;3.44661;
28/09/2021;11:00:42;3.446308;
28/09/2021;11:00:44;3.445091;
28/09/2021;11:00:45;3.445865;
28/09/2021;11:00:46;3.445262;
28/09/2021;11:00:48;3.44515;
28/09/2021;11:00:49;3.444698;
28/09/2021;11:00:50;3.443945;
28/09/2021;11:00:52;3.442593;
28/09/2021;11:00:53;3.444556;
28/09/2021;11:00:55;3.443586;
28/09/2021;11:00:56;3.441104;
28/09/2021;11:00:57;3.444863;
28/09/2021;11:00:59;3.445638;
28/09/2021;11:01:00;3.446392;
28/09/2021;11:01:01;3.44289;
28/09/2021;11:01:03;3.44421;
28/09/2021;11:01:04;3.44723;
28/09/2021;11:01:05;3.445243;
28/09/2021;11:01:07;3.448171;
28/09/2021;11:01:08;3.450473;
28/09/2021;11:01:10;3.447155;
28/09/2021;11:01:11;3.446821;
28/09/2021;11:01:12;3.452348;
28/09/2021;11:01:14;3.447654;
28/09/2021;11:01:15;3.453545;
28/09/2021;11:01:16;3.452057;
28/09/2021;11:01:18;3.447949;
28/09/2021;11:01:19;3.453004;
28/09/2021;11:01:21;3.453948;
28/09/2021;11:01:22;3.446909;
28/09/2021;11:01:23;3.448622;
28/09/2021;11:01:25;3.450289;
28/09/2021;11:01:26;3.448582;
28/09/2021;11:01:27;3.451234;
28/09/2021;11:01:29;3.454443;
28/09/2021;11:01:30;3.448992;
28/09/2021;11:01:32;3.447859;
28/09/2021;11:01:33;3.451582;
28/09/2021;11:01:34;3.45095;
28/09/2021;11:01:36;3.450478;
28/09/2021;11:01:37;3.454371;
28/09/2021;11:01:38;3.455198;
28/09/2021;11:01:40;3.453124;
28/09/2021;11:01:41;3.452853;
28/09/2021;11:01:42;3.452366;
28/09/2021;11:01:44;3.452678;
28/09/2021;11:01:45;3.456292;
28/09/2021;11:01:46;3.457111;
28/09/2021;11:01:48;3.453246;
28/09/2021;11:01:49;3.456183;
28/09/2021;11:01:51;3.452567;
28/09/2021;11:01:52;3.451684;
28/09/2021;11:01:53;3.453491;
28/09/2021;11:01:55;3.454466;
28/09/2021;11:01:56;3.453414;
28/09/2021;11:01:57;3.453385;
28/09/2021;11:01:59;3.457431;
28/09/2021;11:02:00;3.454638;
28/09/2021;11:02:01;3.453459;
28/09/2021;11:02:03;3.449569;
28/09/2021;11:02:04;3.449027;
28/09/2021;11:02:06;3.450269;
28/09/2021;11:02:07;3.451531;
28/09/2021;11:02:08;3.450714;
28/09/2021;11:02:10;3.451091;
28/09/2021;11:02:11;3.447467;
28/09/2021;11:02:12;3.446724;
28/09/2021;11:02:14;3.448957;
28/09/2021;11:02:15;3.451901;
28/09/2021;11:02:16;3.449973;
28/09/2021;11:02:18;3.44947;
28/09/2021;11:02:19;3.451582;
28/09/2021;11:02:21;3.448485;
28/09/2021;11:02:22;3.447621;
28/09/2021;11:02:23;3.449963;
28/09/2021;11:02:25;3.448256;
28/09/2021;11:02:26;3.449706;
28/09/2021;11:02:27;3.452098;
28/09/2021;11:02:29;3.44965;
28/09/2021;11:02:30;3.450828;
